id;createdat;updatedat;code;state;active;orderplacedat;couponcodes;shippingaddress;billingaddress;currencycode;subtotal;subtotalwithtax;shipping;shippingwithtax;taxzoneid
1;2021-10-25T07:45:59;2021-10-24T23:41:55;Technician system;Rufiyaa;true;2021-10-25T10:25:10;secondary;empower;Creative;Reactive transmitter Islands;32090;92432;35285;65241;52862
2;2021-10-24T23:37:32;2021-10-24T20:48:11;silver solutions;SMS;true;2021-10-24T23:31:14;Mountains bluetooth Brand;Soft neural;synergies;Consultant Developer Shirt;77872;27195;19444;20050;46445
3;2021-10-25T13:30:52;2021-10-25T11:01:25;SAS AI;Islands local Computer;true;2021-10-25T08:41:05;Peso high-level;indexing;Personal encoding Loan;Cuba;16218;7150;69851;79347;56085
4;2021-10-25T00:27:24;2021-10-24T20:24:41;Loan Licensed Regional;compressing;true;2021-10-25T12:27:16;Bike invoice;invoice Representative communities;Syrian Bedfordshire;Oregon Clothing Account;25313;58421;31322;96699;15605
5;2021-10-25T06:23:35;2021-10-25T13:06:33;stable;project Dam;true;2021-10-24T22:53:35;system-worthy responsive Interactions;quantify Accountability Lead;withdrawal;Suriname Account gold;66697;77586;22033;70545;38942
6;2021-10-25T10:52:00;2021-10-25T05:46:17;Shirt payment invoice;seize Berkshire;true;2021-10-25T09:57:41;Granite Optimized;contingency interface;hack Accountability matrix;adapter payment;33878;12743;62637;80914;10287
7;2021-10-25T17:41:19;2021-10-25T09:35:47;Producer Wooden;Jewelery auxiliary Checking;false;2021-10-25T12:27:04;Persistent programming;frictionless;Mouse IB;Avon Car Borders;13929;90240;19784;52612;67193
8;2021-10-24T19:49:27;2021-10-25T05:22:20;Table intranet;Customer portals channels;true;2021-10-25T12:27:32;Seychelles exploit Lead;Squares;leading-edge grow;Drives;85315;37563;75967;92882;31216
9;2021-10-25T08:23:48;2021-10-25T12:18:27;payment help-desk ROI;virtual deposit;true;2021-10-25T08:06:07;synthesize;cross-platform interface tan;Supervisor Applications AGP;disintermediate Card;76830;30917;67790;86938;11862
10;2021-10-25T13:08:14;2021-10-24T20:20:55;Plastic metrics withdrawal;JBOD violet;true;2021-10-24T19:45:32;Assistant e-commerce;quantifying transitional;Saint Toys Hawaii;Monitored Officer;78344;91365;73370;91843;51869
