id;createdat;updatedat;languagecode;name;description
1;2021-10-25T09:58:17;2021-10-24T19:45:58;Phased system;systematic;Progressive web-readiness
2;2021-10-25T08:27:35;2021-10-25T15:18:53;modular adapter;supply-chains;Finland secured moratorium
3;2021-10-24T20:56:01;2021-10-25T03:56:06;compress Awesome copying;Rustic Account;override up
4;2021-10-25T01:20:29;2021-10-25T02:33:53;Public-key Tasty;portals Computers;bypassing
5;2021-10-25T01:16:37;2021-10-25T14:25:46;reboot Liberian Engineer;Movies;open
6;2021-10-25T17:29:43;2021-10-25T15:00:42;intangible bandwidth;Games transmit;lavender
7;2021-10-24T23:04:55;2021-10-25T04:09:36;Facilitator fuchsia;azure Savings Wooden;Park Multi-tiered Zloty
8;2021-10-25T12:52:35;2021-10-25T05:49:09;Frozen sensor;card;mobile back-end Books
9;2021-10-25T06:37:54;2021-10-24T23:02:18;value-added;Loan;optical e-business Gloves
10;2021-10-25T04:55:09;2021-10-25T01:23:51;Mountain Investor deposit;Functionality Ergonomic Missouri;SCSI one-to-one Berkshire
